YYYYMM,행정동코드,년도,월,행정동_명칭,자치구_명칭,생활비용지수_등급,생활비용지수
202501,1171062000,2025,1,가락본동,송파구,3,9.153742221638977
202501,1171063100,2025,1,가락1동,송파구,2,10.464586050569888
202501,1171063200,2025,1,가락2동,송파구,3,9.220968197360325
202501,1171064100,2025,1,문정1동,송파구,3,9.049760986154268
202501,1171064200,2025,1,문정2동,송파구,2,9.685040739983076
202501,1171064600,2025,1,장지동,송파구,3,8.96878623495676
202501,1171064700,2025,1,위례동,송파구,4,8.124316834391358
202501,1171065000,2025,1,잠실본동,송파구,2,9.620949388951836
202501,1171067000,2025,1,잠실2동,송파구,2,9.559172036441073
202501,1171068000,2025,1,잠실3동,송파구,3,9.410205305994682
202501,1171069000,2025,1,잠실4동,송파구,3,9.017078642193006
202501,1171071000,2025,1,잠실6동,송파구,2,10.146230631066976
202501,1171072000,2025,1,잠실7동,송파구,3,8.822356210056768
202501,1174051500,2025,1,강일동,강동구,3,8.487750047886694
202501,1174052500,2025,1,상일1동,강동구,4,8.21852184174653
202501,1174052600,2025,1,상일2동,강동구,3,8.631037787556378
202501,1174053000,2025,1,명일1동,강동구,3,9.29171407608693
202501,1174054000,2025,1,명일2동,강동구,2,9.75140203621356
202501,1174055000,2025,1,고덕1동,강동구,3,8.454939929131205
202501,1174056000,2025,1,고덕2동,강동구,3,9.033420863779307
202501,1174057000,2025,1,암사1동,강동구,3,8.810634556723468
202501,1174058000,2025,1,암사2동,강동구,3,9.109107360675395
202501,1174059000,2025,1,암사3동,강동구,3,9.044421231682598
202501,1174060000,2025,1,천호1동,강동구,3,8.84259056148528
202501,1174061000,2025,1,천호2동,강동구,3,9.37291550254574
202501,1174062000,2025,1,천호3동,강동구,3,8.910460652086114
202501,1174064000,2025,1,성내1동,강동구,3,9.169464070266764
202501,1174065000,2025,1,성내2동,강동구,3,9.252151221067964
202501,1174066000,2025,1,성내3동,강동구,3,9.20267657675518
202501,1174068500,2025,1,길동,강동구,3,9.065144180639043
202501,1174069000,2025,1,둔촌1동,강동구,3,8.668299097876929
