행정동코드,행정동이름,AREA_M2,LAT,LON
1168074000,일원2동,1220000,127.084,37.483
1168075000,수서동,1624149,127.084,37.48684
1171051000,풍납1동,1057854,127.084,37.53824
1171052000,풍납2동,1992907,127.084,37.52985
1171053100,거여1동,506282,127.084,37.49439
1171053200,거여2동,505978,127.084,37.49238
1171054000,마천1동,519561,127.084,37.49478
1171055000,마천2동,958068,127.084,37.50033
1171056100,방이1동,585493,127.084,37.50977
1171056200,방이2동,767575,127.084,37.51325
1171056600,오륜동,3138116,127.084,37.51766
1171057000,오금동,1733642,127.084,37.50399
1171058000,송파1동,696743,127.084,37.50717
1171059000,송파2동,599279,127.084,37.50284
1171060000,석촌동,932452,127.084,37.50272
1171061000,삼전동,990522,127.084,37.50172
1171062000,가락본동,1049756,127.084,37.49722
1171063100,가락1동,1368008,127.10824,37.49533
1171063200,가락2동,941692,127.13064,37.49586
1171064100,문정1동,667814,127.12686,37.48817
1171064200,문정2동,2357239,127.11914,37.48069
1171064600,장지동,1221454,127.13163,37.48279
1171064700,위례동,2608006,127.14124,37.48166
1171065000,잠실본동,1140205,127.08229,37.50551
1171067000,잠실2동,2877277,127.07882,37.51772
1171068000,잠실3동,1514431,127.09432,37.51364
1171069000,잠실4동,840215,127.10815,37.52125
1171071000,잠실6동,1398484,127.09998,37.51907
1171072000,잠실7동,680575,127.0741,37.50748
1174051500,강일동,3653950,127.17402,37.56389
1174052500,상일제1동,1781219,127.16484,37.55074
1174052600,상일제2동,1090000,127.17784,37.55674
1174053000,명일제1동,621207,127.14594,37.55037
1174054000,명일제2동,937505,127.1542,37.54829
1174055000,고덕제1동,1905349,127.15031,37.56335
1174056000,고덕제2동,2415151,127.16164,37.56586
1174057000,암사제1동,730232,127.13459,37.55186
1174058000,암사제2동,2442627,127.12324,37.55738
1174059000,암사제3동,1853001,127.13851,37.5615
1174060000,천호제1동,685407,127.13858,37.54632
1174061000,천호제2동,1828587,127.12228,37.54469
1174062000,천호제3동,538847,127.1332,37.53965
1174064000,성내제1동,661583,127.12552,37.52876
1174065000,성내제2동,626571,127.12774,37.53436
1174066000,성내제3동,642074,127.1338,37.5284
1174068500,길동,1601118,127.14591,37.53973
1174069000,둔촌제1동,896155,127.14043,37.52315
1174070000,둔촌제2동,1594005,127.14741,37.53151
