기준_년분기_코드,행정동코드,당월_매출_금액,당월_매출_건수
20192,1162063000,21137298772,1134459
20192,1162064500,49164577340,3176880
20192,1162065500,11092689896,735053
20192,1162066500,13052662305,1066325
20192,1162068500,24761804688,1569731
20192,1162069500,53445660823,2959276
20192,1162071500,3599361998,256822
20192,1162072500,42653916496,1776336
20192,1162073500,26920664658,2728859
20192,1162074500,8139273982,388709
20192,1162076500,20176831858,968854
20192,1162077500,11009330331,837117
20192,1165051000,61160820957,3097502
20192,1165052000,93063286178,4119242
20192,1165053000,157320904492,5808161
20192,1165053100,141275233793,4731222
20192,1165054000,56766433808,2204552
20192,1165055000,3446649825,65208
20192,1165056000,53504027366,2305957
20192,1165057000,14993169959,625975
20192,1165058000,67698878414,2040669
20192,1165058100,72546005354,2235750
20192,1165059000,40869604815,1652172
20192,1165060000,61843370383,2506640
20192,1165061000,37732159590,1120932
20192,1165062000,21934089921,524464
20192,1165062100,49670560317,1918036
20192,1165065100,96153767803,3613640
20192,1165065200,116794702478,5598534
20192,1165066000,6550124822,180807
20192,1168051000,253610713178,6053399
20192,1168052100,224393972380,6032571
20192,1168053100,133597437262,5334400
20192,1168054500,239569425674,3795851
20192,1168056500,222881870191,3797917
20192,1168058000,364102081457,8640280
20192,1168059000,96425138258,3068452
20192,1168060000,71736151823,2192742
20192,1168061000,96969571904,3231265
20192,1168063000,122418910430,5133677
20192,1168064000,435486625248,18198280
20192,1168065000,86815519345,4564571
20192,1168065500,55237200117,1877194
20192,1168065600,48541898929,1979646
20192,1168066000,42359882,1568
20192,1168067000,15812008413,837041
20192,1168069000,42606772379,1885851
20192,1168070000,22497658724,1038470
20192,1168072000,11090543723,1700670
20192,1168073000,23674484289,1242772
20192,1168074000,2598785005,282661
20192,1168075000,45057243782,3198501
20192,1171051000,9743419241,533192
20192,1171052000,19820710187,839854
20192,1171053100,9433592419,492724
20192,1171053200,19484178494,1105614
20192,1171054000,13797143232,647085
20192,1171055000,24366629173,1212086
20192,1171056100,34641423523,1156093
20192,1171056200,82804095684,3637113
20192,1171056600,4442181004,445761
20192,1171057000,57503719840,1683387
20192,1171058000,58530499262,1873378
20192,1171059000,20332473600,847673
20192,1171060000,69227026867,4632196
20192,1171061000,49555681643,2490973
20192,1171062000,66715629389,2616496
20192,1171063100,331687800723,6701124
20192,1171063200,41980410838,1809170
20192,1171064100,21719620642,971185
20192,1171064200,107338546307,4415528
20192,1171064600,24896404269,1098972
20192,1171064700,2259352246,191817
20192,1171065000,109719795572,4989250
20192,1171067000,37209873859,2144165
20192,1171068000,29111941735,1667558
20192,1171069000,7341148987,457354
20192,1171071000,81876182492,3760800
20192,1171072000,3509203005,153459
20192,1174051500,9007226715,497401
20192,1174052000,11209655784,554955
