YYYYMM,행정동코드,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,행정동이름,AREA_M2,LAT,LON,전체승객수,지하철승객수,버스승객수,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적,아파트_평균_시가,M2,KOSPI,HOUSE_SALE,RENT_SALE,FX,생활인구합계
202408,1121585000,52738497068.0,2154725.0,40039251302.0,12699245766.0,28755712715.0,20274195568.0,구의제1동,552319,127.08603,37.54149,947257,702568,244689,421,2897,560.0,43,2.0,0.0,48.0,182840088,3834303.6,2647.99,91.47,96.173,1354.15,17106523
202408,1121586000,30720270092.0,1444467.0,22752114151.0,7968155941.0,14454942043.0,12307281349.0,구의제2동,1380731,127.09445,37.551,648454,410830,237624,569,3313,1464.0,130,35.0,8.0,59.0,218482807,3834303.6,2647.99,91.47,96.173,1354.15,16727491
202408,1121587000,117000000000.0,3352784.0,84471164893.0,32334405742.0,56187049201.0,43901791341.0,구의제3동,1450497,127.09524,37.53509,1064188,853481,210707,319,1905,961.0,128,69.0,76.0,60.0,306329165,3834303.6,2647.99,91.47,96.173,1354.15,24429377
202408,1123053600,111000000000.0,4315470.0,87065779431.0,23717523764.0,50811240333.0,55115107643.0,용신동,1573645,127.03229,37.57562,2090939,1076329,1014610,212,1333,465.0,104,16.0,4.0,57.0,263764070,3834303.6,2647.99,91.47,96.173,1354.15,32153358
202408,1123054500,776000000000.0,25867932.0,543000000000.0,234000000000.0,342000000000.0,391000000000.0,제기동,1181233,127.03724,37.58368,856088,225758,630330,276,1738,548.0,84,7.0,16.0,56.0,199334932,3834303.6,2647.99,91.47,96.173,1354.15,19909317
202408,1123056000,45971224199.0,2403284.0,32143259367.0,13827964832.0,22567745537.0,20581444407.0,전농제1동,1170148,127.05105,37.57901,1619874,939450,680424,236,1565,449.0,118,1.0,2.0,53.0,298148257,3834303.6,2647.99,91.47,96.173,1354.15,31004281
202408,1123057000,14619829390.0,1038723.0,11449209921.0,3170619469.0,7546952684.0,6418736415.0,전농제2동,995125,127.06114,37.58072,271369,0,271369,95,499,280.0,199,0.0,0.0,70.0,385704055,3834303.6,2647.99,91.47,96.173,1354.15,10435492
202408,1123060000,35535065384.0,1024025.0,28741407395.0,6793657989.0,16635594422.0,14471197240.0,답십리제1동,798544,127.0517,37.57094,235713,0,235713,123,777,443.0,98,34.0,0.0,64.0,481259336,3834303.6,2647.99,91.47,96.173,1354.15,15237389
202408,1123061000,30165869358.0,1437319.0,23280021659.0,6885847700.0,15487205264.0,12325981224.0,답십리제2동,824988,127.06111,37.57089,327983,0,327983,128,649,512.0,130,2.0,0.0,69.0,367194404,3834303.6,2647.99,91.47,96.173,1354.15,21656876
202408,1123065000,164000000000.0,3762853.0,141000000000.0,23016981080.0,88826059947.0,69028062345.0,장안제1동,1365375,127.06859,37.56623,591084,0,591084,366,3152,1217.0,255,23.0,0.0,58.0,242312008,3834303.6,2647.99,91.47,96.173,1354.15,25006693
202408,1123066000,95781513921.0,4116734.0,69927458050.0,25854055871.0,47441296692.0,42606696756.0,장안제2동,1132972,127.07254,37.57576,450743,0,450743,278,2403,879.0,159,15.0,0.0,59.0,269839336,3834303.6,2647.99,91.47,96.173,1354.15,21901456
202408,1123070500,53557114741.0,2261127.0,38769536047.0,14787578694.0,27665841212.0,24579682969.0,청량리동,1176505,127.04512,37.58894,415926,0,415926,111,618,254.0,99,22.0,11.0,63.0,259040718,3834303.6,2647.99,91.47,96.173,1354.15,14191265
202408,1123071000,31420499452.0,1797562.0,24365897627.0,7054601825.0,15300360038.0,13651345110.0,회기동,803887,127.05141,37.5937,222236,0,222236,79,545,191.0,29,1.0,0.0,54.0,195644398,3834303.6,2647.99,91.47,96.173,1354.15,12341438
202408,1123072000,19456268522.0,859848.0,14664054880.0,4792213643.0,9112802147.0,8769928704.0,휘경제1동,510437,127.06247,37.59187,820323,472769,347554,69,442,189.0,43,0.0,0.0,57.0,269364510,3834303.6,2647.99,91.47,96.173,1354.15,11712563
202408,1123073000,14928934972.0,609289.0,11530447580.0,3398487393.0,7637760073.0,6492491129.0,휘경제2동,1195510,127.06644,37.58651,346486,0,346486,210,1232,608.0,176,1.0,0.0,59.0,240740232,3834303.6,2647.99,91.47,96.173,1354.15,14734857
202408,1123074000,26573411018.0,2254167.0,20254822002.0,6318589016.0,13741721182.0,11809838766.0,이문제1동,1005087,127.06029,37.59722,378250,160820,217430,142,816,256.0,106,21.0,6.0,52.0,241674717,3834303.6,2647.99,91.47,96.173,1354.15,14766514
202408,1123075000,8402138098.0,571513.0,6341142329.0,2060995769.0,4352599268.0,3783390480.0,이문제2동,805192,127.06749,37.60283,267260,160896,106364,83,469,291.0,150,6.0,0.0,69.0,392500480,3834303.6,2647.99,91.47,96.173,1354.15,11041164
